POS,0.37,-0.29,0.29,63
POS,0.33,-0.29,0.28,69
POS,0.31,-0.29,0.29,69
POS,0.33,-0.29,0.28,58
POS,0.34,-0.28,0.28,57
POS,0.33,-0.29,0.28,66
POS,0.32,-0.28,0.29,62
POS,0.33,-0.28,0.28,57
POS,0.31,-0.28,0.29,66
POS,0.33,-0.28,0.29,63
POS,0.31,-0.29,0.27,63
POS,0.30,-0.28,0.28,65
POS,0.31,-0.28,0.29,61
POS,0.32,-0.27,0.29,59
POS,0.32,-0.29,0.28,64
POS,0.33,-0.28,0.28,56
POS,0.35,-0.29,0.28,64
POS,0.32,-0.28,0.28,64
POS,0.36,-0.27,0.28,56
POS,0.37,-0.27,0.28,54
POS,0.39,-0.28,0.30,71
POS,0.38,-0.29,0.28,60
POS,0.37,-0.28,0.29,61
POS,0.36,-0.27,0.29,60
POS,0.37,-0.29,0.28,61
POS,0.35,-0.28,0.27,60
POS,0.33,-0.28,0.26,60
POS,0.33,-0.28,0.27,62
POS,0.34,-0.28,0.28,61
POS,0.36,-0.27,0.29,58
POS,0.36,-0.27,0.27,53
POS,0.36,-0.28,0.27,62
POS,0.34,-0.28,0.28,62
POS,0.33,-0.27,0.28,58
POS,0.36,-0.26,0.28,58
POS,0.35,-0.27,0.28,63
POS,0.34,-0.27,0.30,67
POS,0.35,-0.28,0.29,55
POS,0.34,-0.28,0.29,64
POS,0.36,-0.28,0.28,58
POS,0.35,-0.28,0.29,65
POS,0.33,-0.29,0.28,65
POS,0.34,-0.28,0.29,60
POS,0.31,-0.27,0.29,65
POS,0.30,-0.29,0.28,67
POS,0.28,-0.28,0.27,64
POS,0.31,-0.29,0.27,63
POS,0.29,-0.27,0.27,60
POS,0.33,-0.27,0.27,53
POS,0.34,-0.26,0.28,59
POS,0.34,-0.27,0.27,60
POS,0.33,-0.28,0.27,64
POS,0.33,-0.27,0.28,56
POS,0.31,-0.27,0.28,65
POS,0.32,-0.29,0.28,65
POS,0.32,-0.30,0.28,65
POS,0.31,-0.29,0.27,58
POS,0.31,-0.29,0.28,65
POS,0.32,-0.28,0.28,57
POS,0.31,-0.28,0.28,64
POS,0.33,-0.29,0.28,61
POS,0.31,-0.29,0.28,67
POS,0.29,-0.28,0.28,67
POS,0.30,-0.28,0.28,61
POS,0.30,-0.28,0.28,58
POS,0.30,-0.28,0.28,61
POS,0.32,-0.29,0.28,63
POS,0.32,-0.28,0.28,60
POS,0.36,-0.29,0.30,71
POS,0.34,-0.29,0.27,54
POS,0.36,-0.29,0.27,57
POS,0.37,-0.27,0.27,52
POS,0.40,-0.27,0.27,56
POS,0.37,-0.27,0.28,64
POS,0.43,-0.31,0.30,82
POS,0.36,-0.28,0.29,62
POS,0.39,-0.28,0.29,56
POS,0.36,-0.28,0.28,60
POS,0.33,-0.27,0.28,67
POS,0.34,-0.28,0.29,64
POS,0.36,-0.29,0.28,62
POS,0.36,-0.29,0.29,61
POS,0.35,-0.29,0.28,62
POS,0.33,-0.28,0.28,59
POS,0.35,-0.28,0.28,59
POS,0.34,-0.28,0.27,61
POS,0.36,-0.29,0.27,62
POS,0.37,-0.28,0.28,58
POS,0.36,-0.27,0.28,57
POS,0.39,-0.28,0.30,70
POS,0.40,-0.29,0.28,56
POS,0.42,-0.30,0.30,72
POS,0.37,-0.29,0.29,65
POS,0.35,-0.28,0.28,58
POS,0.36,-0.27,0.30,62
POS,0.34,-0.27,0.30,64
POS,0.31,-0.28,0.29,69
POS,0.32,-0.29,0.30,67
POS,0.32,-0.30,0.29,65
POS,0.36,-0.29,0.28,56
POS,0.39,-0.30,0.31,73
POS,0.37,-0.29,0.29,56
POS,0.35,-0.27,0.29,59
POS,0.36,-0.28,0.28,54
POS,0.36,-0.28,0.28,60
POS,0.37,-0.28,0.28,59
POS,0.35,-0.28,0.29,65
POS,0.33,-0.29,0.29,69
POS,0.32,-0.28,0.29,61
POS,0.32,-0.30,0.28,66
POS,0.33,-0.31,0.27,62
POS,0.35,-0.29,0.28,57
POS,0.34,-0.30,0.28,64
POS,0.33,-0.30,0.28,64
POS,0.34,-0.29,0.28,60
POS,0.34,-0.29,0.29,63
POS,0.36,-0.28,0.29,56
POS,0.32,-0.28,0.28,68
POS,0.31,-0.27,0.28,58
POS,0.32,-0.27,0.29,64
POS,0.36,-0.27,0.27,54
POS,0.34,-0.28,0.28,64
POS,0.31,-0.27,0.28,65
POS,0.30,-0.28,0.28,67
POS,0.35,-0.30,0.30,75
POS,0.32,-0.30,0.29,66
POS,0.31,-0.29,0.30,66
POS,0.32,-0.30,0.28,59
POS,0.32,-0.30,0.29,67
POS,0.31,-0.28,0.29,58
POS,0.32,-0.30,0.29,67
POS,0.30,-0.30,0.29,68
POS,0.33,-0.30,0.29,63
POS,0.33,-0.29,0.30,61
POS,0.34,-0.29,0.28,75
POS,0.34,-0.30,0.28,61
POS,0.33,-0.30,0.27,63
POS,0.34,-0.29,0.29,65
POS,0.34,-0.28,0.29,60
POS,0.33,-0.29,0.29,64
POS,0.32,-0.28,0.28,58
POS,0.34,-0.28,0.28,58
POS,0.33,-0.30,0.27,67
POS,0.34,-0.29,0.28,59
POS,0.32,-0.30,0.27,67
POS,0.32,-0.30,0.27,61
POS,0.33,-0.30,0.27,64
POS,0.34,-0.30,0.27,61
POS,0.34,-0.29,0.27,55
POS,0.34,-0.29,0.28,65
POS,0.30,-0.28,0.29,69
POS,0.32,-0.29,0.28,60
POS,0.34,-0.29,0.27,59
POS,0.34,-0.29,0.28,64
POS,0.33,-0.30,0.27,64
POS,0.36,-0.30,0.28,62
POS,0.36,-0.30,0.27,59
POS,0.35,-0.30,0.27,61
POS,0.36,-0.28,0.28,60
POS,0.35,-0.28,0.28,59
POS,0.35,-0.29,0.28,62
POS,0.34,-0.29,0.27,59
POS,0.35,-0.29,0.28,64
POS,0.33,-0.28,0.28,62
POS,0.33,-0.29,0.28,65
POS,0.32,-0.29,0.27,60
POS,0.34,-0.29,0.28,59
POS,0.33,-0.28,0.27,57
POS,0.34,-0.29,0.28,65
POS,0.36,-0.30,0.29,67
POS,0.36,-0.29,0.30,60
POS,0.30,-0.23,0.33,80
POS,0.34,-0.24,0.31,56
POS,0.36,-0.26,0.29,54
POS,0.36,-0.26,0.27,53
POS,0.35,-0.28,0.27,64
POS,0.32,-0.28,0.28,68
POS,0.31,-0.27,0.29,67
POS,0.30,-0.28,0.28,65
POS,0.32,-0.28,0.27,56
POS,0.32,-0.28,0.28,61
POS,0.30,-0.27,0.29,67
