n,training_time
498,8.0325
499,7.9998
500,8.0118
501,16.0065
502,0.0
503,0.0
504,8.0019
505,8.029
506,8.0243
507,8.0044
508,6.0425
509,8.0201
510,7.9896
511,8.0023
512,8.0129
513,8.0033
514,8.002
515,8.0062
516,8.0168
517,8.0137
518,8.0082
519,8.0002
520,8.0048
521,7.9902
522,8.0017
523,8.7328
524,8.3528
525,5.5265
526,7.998
527,7.994
528,16.0021
529,8.0034
530,7.5475
531,8.4072
532,8.337
533,0.6369
534,1.1978
535,15.8244
536,9.2889
537,8.4118
538,15.0233
539,8.0071
540,8.017
541,8.0145
542,0.0
543,6.0255
544,6.5185
545,8.0152
546,8.0117
547,7.9975
548,8.0022
549,8.0093
550,8.0255
551,8.0159
552,8.0068
553,16.636
554,7.4866
555,9.4025
556,5.5665
557,7.5251
558,8.0078
559,7.983
560,8.0759
561,16.0008
562,8.0098
563,7.9755
564,15.9911
565,8.0052
566,7.9937
567,16.0141
568,7.9918
569,7.9936
570,7.9957
571,8.0046
572,7.9852
573,16.0479
574,7.9882
575,8.0246
576,8.0061
577,16.0565
578,16.0076
579,16.0203
580,8.2721
581,8.0135
582,7.9853
583,11.3118
584,7.995
585,8.0066
586,16.4523
587,3.1072
588,11.5429
589,0.0
590,8.0221
591,8.3906
592,7.0292
593,7.9985
594,16.0045
595,8.0146
596,8.0026
597,7.0244
598,8.0141
599,12.5847
600,8.0033
601,8.0089
602,7.9988
603,8.0053
604,8.0166
605,15.9652
606,7.9683
607,8.0022
608,8.1255
609,8.0646
610,8.0163
611,8.0037
612,7.9846
613,8.0614
614,7.9975
615,3.0128
616,7.9948
617,15.9838
618,8.0002
619,8.0016
620,8.0261
621,7.9886
622,4.014
623,7.9995
624,2.9875
625,16.4436
626,8.5073
627,8.0097
628,7.9435
629,11.0226
630,7.9332
631,8.0148
632,7.9952
633,8.4428
634,8.5476
635,8.0044
636,8.0834
637,17.6391
638,16.3227
639,8.603
640,8.3601
641,8.4275
642,7.8896
643,8.0447
644,8.7625
645,8.0275
646,12.4342
647,7.7989
648,16.5896
649,14.9132
650,7.8133
651,14.231
652,7.9938
653,8.5133
654,7.9995
655,15.9948
656,7.9986
657,7.997
658,11.0734
659,8.0044
660,8.038
661,8.1885
662,8.4767
663,8.3112
664,8.0689
665,7.5173
666,7.9977
667,15.9534
668,7.9953
669,7.9209
670,13.1697
671,16.0007
672,7.9864
673,6.028
674,9.8414
675,8.0064
676,7.9417
677,7.013
678,8.2449
679,16.5894
680,16.0214
681,8.1396
682,7.9514
683,8.3991
684,8.0159
685,8.0
686,5.5092
687,7.9298
688,15.7105
689,8.3606
690,13.8271
691,8.0761
692,7.992
693,8.4383
694,17.3203
695,0.0
696,8.1034
697,8.7182
698,8.2843
699,8.5267
700,8.9116
701,8.078
702,7.9304
703,16.0929
704,16.2728
705,7.9282
706,8.008
707,8.0924
708,15.9999
709,8.6732
710,16.0119
711,16.0127
712,15.9373
713,8.0013
714,8.0159
715,8.4631
716,9.0903
717,9.4646
718,7.9989
719,15.9831
720,8.0226
721,16.011
722,15.999
723,7.5107
724,7.985
725,7.9938
726,8.0709
727,17.5704
728,16.6737
729,8.2204
730,8.2931
731,8.0309
732,8.037
733,7.9887
734,15.9983
735,8.0818
736,8.0206
737,8.013
738,13.5276
739,16.0112
740,8.0005
741,15.9838
742,8.0559
743,8.0139
744,7.9713
745,8.0078
746,8.0023
747,0.0
748,7.937
749,13.0829
750,7.9954
751,9.1025
752,7.9904
753,8.1461
754,7.9893
755,8.0105
756,8.0062
757,13.1812
758,7.9403
759,8.571
760,16.0017
761,7.9901
762,8.0014
763,8.0436
764,7.979
765,7.9929
766,8.0973
767,8.0023
768,7.9908
769,8.0008
770,8.0088
771,7.9996
772,7.991
773,7.99
774,7.9862
775,12.0203
776,8.0041
777,7.5843
778,8.0021
779,8.0317
780,8.0199
781,8.0134
782,7.9984
783,12.1062
784,8.0298
785,8.0089
786,8.0223
787,8.0107
788,16.0126
789,7.996
790,8.0037
791,8.0025
792,7.9344
793,8.0226
794,7.9861
795,8.0015
796,8.0097
797,8.0065
798,12.0906
799,16.0223
800,8.023
801,7.9961
802,7.9452
803,8.0998
804,8.0138
805,8.1233
806,15.9969
807,7.9215
808,8.0002
809,16.0
810,8.313
811,7.9836
812,7.9888
813,16.0506
814,15.998
815,15.9997
816,16.2305
817,8.0173
818,16.0221
819,16.0811
820,8.0504
821,15.6941
822,8.6202
823,8.0036
824,16.0128
825,9.1225
826,16.037
827,8.0764
828,8.0078
829,17.0552
830,17.3927
831,8.8534
832,7.9919
833,7.9885
834,15.9399
835,9.538
836,15.9893
837,15.9971
838,16.074
839,8.5997
840,8.0184
841,7.9895
842,9.5369
843,8.3805
844,15.9334
845,8.0014
846,16.4701
847,8.0055
848,16.0081
849,16.303
850,15.5497
851,7.9913
852,14.8965
853,8.4579
854,16.6108
855,14.3279
856,23.9322
857,7.9996
858,16.0046
859,7.4911
860,8.0588
861,15.9818
862,9.9887
863,8.1196
864,16.3713
865,10.7376
866,8.0571
867,16.4405
868,7.0729
869,8.2723
870,8.0135
871,4.0124
872,18.104
873,19.2455
874,13.9044
875,19.6553
876,8.0056
877,8.0016
878,7.9987
879,8.0072
880,16.6738
881,8.2577
882,9.9289
883,16.0014
884,16.0064
885,8.0159
886,8.8321
887,8.0185
888,8.0255
889,15.9981
890,7.9871
891,16.0735
892,8.0026
893,16.4134
894,16.0036
895,8.0166
896,16.0078
897,16.2762
898,7.9844
899,16.0115
900,7.9691
901,7.9891
902,7.9905
903,16.0181
904,7.996
905,22.7896
906,16.0115
907,8.0003
908,3.5059
909,16.0893
910,16.7835
911,8.6791
912,9.5841
913,8.3778
914,8.303
915,12.968
916,14.6302
917,16.4495
918,16.0407
919,9.8675
920,16.0161
921,8.5471
922,11.7961
923,8.0033
924,16.0036
925,8.0005
926,16.6602
927,16.3953
928,16.6952
929,12.0322
930,8.0168
931,15.9841
932,18.7316
933,9.8005
934,8.0148
935,16.2154
936,16.0322
937,15.9699
938,8.0158
939,16.0119
940,8.3427
941,8.5889
942,16.0492
943,9.3304
944,7.9971
945,8.0025
946,16.0028
947,13.059
948,16.1192
949,16.4624
950,15.9988
951,16.0171
952,16.0111
953,16.0026
954,15.9919
955,12.118
956,16.0323
957,16.0695
958,7.9388
959,16.0166
960,6.6301
961,7.9171
962,16.506
963,7.5198
964,16.1317
965,16.0714
966,16.2952
967,14.0806
968,16.0033
969,16.0091
970,16.2527
971,16.0287
972,16.2431
973,16.5623
974,16.2569
975,8.4437
976,6.4707
977,8.1413
978,15.9208
979,7.9996
980,10.8875
981,16.7428
982,19.11
983,7.3622
984,7.4163
985,8.0875
986,15.9964
987,8.0216
988,15.5437
989,20.0234
990,7.9984
991,20.0205
992,15.9984
993,8.0075
994,15.9241
995,7.9994
996,15.9843
997,15.9929
998,20.0504
999,7.9876
1000,16.0386
1001,16.0493
1002,16.0047
1003,15.9858
1004,7.995
1005,16.8454
1006,13.5496
1007,8.0105
1008,13.0138
1009,16.4257
1010,16.1076
1011,15.7777
1012,10.5605
1013,8.6889
1014,11.6497
1015,8.6101
1016,16.5448
1017,8.509
1018,15.9847
1019,9.3826
1020,16.0016
1021,16.0214
1022,14.5199
1023,16.116
1024,16.1871
1025,21.5258
1026,16.0519
1027,16.0147
1028,15.9995
1029,16.0222
1030,15.9783
1031,15.9856
1032,16.0002
1033,16.0035
1034,15.9937
1035,16.0202
1036,15.9968
1037,16.0341
1038,17.0332
1039,16.0142
1040,15.535
1041,16.0007
1042,16.0178
1043,15.9969
1044,16.0067
1045,15.9984
1046,15.9979
1047,20.6691
1048,7.9973
1049,16.0106
1050,15.9762
1051,15.9989
1052,15.9926
1053,16.0172
1054,8.3066
1055,7.9975
1056,13.6656
1057,11.1063
1058,8.0018
1059,16.0146
1060,7.9869
1061,7.9675
1062,12.1548
1063,16.0127
1064,15.9876
1065,8.0107
1066,15.9884
1067,16.0564
1068,7.954
1069,16.0188
1070,15.9956
1071,7.9802
1072,15.9861
1073,24.5241
1074,16.1567
1075,24.7565
1076,15.9586
1077,15.9908
1078,7.9996
1079,16.001
1080,8.0093
1081,16.0033
1082,15.9907
1083,15.9998
1084,15.9987
1085,8.004
1086,19.0332
1087,15.0252
1088,16.0714
1089,17.0251
1090,16.0136
1091,9.8947
1092,15.9862
1093,7.9974
1094,8.2728
1095,8.306
1096,10.0853
1097,8.0156
1098,16.048
1099,15.9508
1100,15.9726
1101,16.0072
1102,12.728
1103,16.0023
1104,16.0091
1105,15.9472
1106,16.0147
1107,16.0064
1108,15.9625
1109,7.9924
1110,8.0838
1111,15.8873
1112,24.001
1113,23.9769
1114,9.7988
1115,15.9229
1116,23.9199
1117,15.9686
1118,15.9969
1119,16.1859
1120,17.6876
1121,15.939
1122,19.0392
1123,24.0007
1124,16.5451
1125,16.0021
1126,17.4024
1127,16.043
1128,15.9433
1129,24.5175
1130,14.5449
1131,11.5271
1132,16.0196
1133,16.4087
1134,18.7711
1135,16.0785
1136,7.9922
1137,23.2847
1138,23.6269
1139,18.721
1140,17.0107
1141,15.9354
1142,16.5945
1143,20.0345
1144,24.5532
1145,24.232
1146,16.1392
1147,16.0425
1148,16.1075
1149,16.5148
1150,16.0389
1151,24.0662
1152,16.0433
1153,16.2043
1154,10.5501
1155,17.0319
1156,15.9408
1157,16.0789
1158,16.5334
1159,19.2335
1160,16.027
1161,24.932
1162,17.9677
1163,13.6075
1164,15.9979
1165,24.2355
1166,17.3418
1167,21.706
1168,23.6107
1169,25.2793
1170,16.4739
1171,16.2239
1172,16.7108
1173,11.8552
1174,8.0934
1175,15.951
1176,9.2743
1177,17.6466
1178,15.9319
1179,16.0005
1180,16.0088
1181,16.5063
1182,16.0027
1183,17.8924
1184,24.5214
1185,18.1286
1186,8.004
1187,16.0009
1188,15.988
1189,15.998
1190,19.7123
1191,14.1837
1192,16.0277
1193,24.2563
1194,16.1002
1195,16.0998
1196,24.0043
1197,15.9928
1198,16.0586
1199,16.0421
1200,15.9835
1201,16.7506
1202,16.8676
1203,24.4423
1204,16.4433
1205,8.1374
1206,16.413
1207,16.0654
1208,16.5279
1209,25.8069
1210,7.9035
1211,16.7363
1212,8.3241
1213,16.3529
1214,23.9991
1215,16.001
1216,16.023
1217,16.004
1218,24.0438
1219,23.9939
1220,8.0001
1221,16.0387
1222,8.0181
1223,23.996
1224,16.0001
1225,15.9821
1226,24.2549
1227,15.9987
1228,8.0281
1229,16.05
1230,16.012
1231,15.9962
1232,15.9998
1233,16.01
1234,15.9824
1235,17.5216
1236,12.4056
1237,16.1621
1238,18.5569
1239,15.9311
1240,15.925
1241,20.9523
1242,12.3234
1243,16.0114
1244,10.6762
1245,19.9958
1246,15.1535
1247,15.9987
1248,18.2906
1249,13.8259
1250,15.5723
1251,16.0887
1252,16.0029
1253,16.655
1254,24.9901
1255,23.74
1256,16.1789
1257,24.0151
1258,16.6784
1259,16.7169
1260,16.0429
1261,23.9992
1262,16.4077
1263,25.5123
1264,8.3432
1265,15.5257
1266,15.9268
1267,32.6395
1268,25.4597
1269,33.3992
1270,24.4541
1271,7.5078
1272,32.0534
1273,24.0193
1274,16.471
1275,16.6018
1276,22.3371
1277,15.9929
1278,25.1093
1279,24.6136
1280,25.9823
1281,15.9992
1282,25.322
1283,24.8426
1284,19.3361
1285,15.3026
1286,24.001
1287,16.0004
1288,16.888
1289,24.1192
1290,15.9996
1291,26.472
1292,24.2817
1293,24.0805
1294,16.0131
1295,16.0127
1296,16.0087
1297,15.9936
1298,15.9981
1299,32.3098
1300,15.6353
1301,24.6061
1302,15.9836
1303,11.523
1304,24.0124
1305,15.9988
1306,31.9367
1307,8.6789
1308,14.4181
1309,15.9316
1310,24.7794
1311,25.2813
1312,25.3447
1313,15.9117
1314,17.123
1315,31.6988
1316,9.251
1317,16.7673
1318,25.1345
1319,14.4601
1320,17.4681
1321,16.0633
1322,8.0023
1323,9.0228
1324,8.7614
1325,14.2266
1326,16.0724
1327,14.2543
1328,15.9335
1329,19.5095
1330,26.5236
1331,17.9536
1332,18.0181
1333,25.7836
1334,18.0257
1335,25.4816
1336,26.724
1337,17.4247
1338,24.72
1339,17.0752
1340,17.0489
1341,15.9709
1342,16.0083
1343,32.53
1344,15.947
1345,16.0462
1346,16.0011
1347,22.5296
1348,17.169
1349,32.2923
1350,32.727
1351,23.9886
1352,16.0974
1353,16.0083
1354,16.1687
1355,16.0967
1356,22.0771
1357,16.0118
1358,16.1896
1359,24.0311
1360,7.9911
1361,15.999
1362,16.0828
1363,16.0344
1364,24.0008
1365,23.9904
1366,17.538
1367,24.0113
1368,15.9932
1369,16.0009
1370,16.0613
1371,7.9972
1372,15.9375
1373,16.001
1374,16.0009
1375,23.9923
1376,16.0329
1377,24.1955
1378,23.9999
1379,16.0056
1380,16.0127
1381,16.0021
1382,16.0416
1383,15.9856
1384,32.0191
1385,15.9284
1386,16.0127
1387,24.0077
1388,16.0915
1389,15.937
1390,16.0947
1391,15.9343
1392,24.0077
1393,16.0126
1394,15.9426
1395,16.0047
1396,16.0024
1397,24.4814
1398,15.9832
1399,15.7772
1400,21.0629
1401,23.8259
1402,16.069
1403,23.9874
1404,16.2172
1405,16.0621
1406,15.9897
1407,21.1534
1408,16.1158
1409,16.1513
1410,8.5837
1411,16.1763
1412,8.0477
1413,7.9869
1414,16.0603
1415,15.9223
1416,32.3592
1417,16.0002
1418,16.1621
1419,18.5199
1420,16.0068
1421,24.0785
1422,16.0008
1423,16.0036
1424,24.0029
1425,16.0024
1426,15.9262
1427,15.9886
1428,24.0037
1429,23.9857
1430,23.9952
1431,15.9562
1432,16.1871
1433,19.5318
1434,15.7051
1435,20.4982
1436,21.6912
1437,16.0062
1438,23.9595
1439,23.9218
1440,16.06
1441,16.0009
1442,15.9201
1443,16.072
1444,16.0071
1445,16.0129
1446,21.6873
1447,24.0555
1448,15.9788
1449,15.9953
1450,23.8845
1451,23.9989
1452,18.2106
1453,24.0725
1454,16.0116
1455,16.0081
1456,18.9386
1457,16.0125
1458,32.0005
1459,15.9169
1460,23.9199
1461,23.9903
1462,23.5416
1463,16.0208
1464,16.0675
1465,15.9318
1466,17.5012
1467,16.0961
1468,12.0184
1469,16.0731
1470,16.0379
1471,15.9365
1472,16.0089
1473,27.9308
1474,24.0192
1475,15.9355
1476,16.0683
1477,31.9297
1478,15.9972
1479,23.4819
1480,16.0075
1481,16.0702
1482,15.9294
1483,16.0047
1484,32.0804
1485,24.0212
1486,31.9986
1487,11.7949
1488,24.2032
1489,15.9616
1490,15.9944
1491,21.8454
1492,31.0957
1493,15.9857
1494,16.1867
1495,16.0114
1496,23.9605
1497,31.9233
1498,15.9901
1499,12.3394
1500,24.4537
1501,24.0685
1502,40.0136
1503,18.5726
1504,11.9533
1505,15.955
1506,24.5539
1507,17.1
1508,24.7646
1509,28.5606
1510,24.0468
1511,15.9869
1512,16.0061
