POS,0.40,-0.30,0.10,44
POS,0.37,-0.29,0.13,55
POS,0.38,-0.27,0.13,13
POS,0.40,-0.27,0.14,43
POS,0.39,-0.27,0.11,41
POS,0.39,-0.27,0.11,40
POS,0.39,-0.25,0.11,14
POS,0.40,-0.26,0.11,39
POS,0.41,-0.28,0.11,51
POS,0.41,-0.27,0.10,31
POS,0.41,-0.27,0.10,35
POS,0.40,-0.29,0.08,49
POS,0.39,-0.29,0.07,47
POS,0.41,-0.29,0.07,50
POS,0.39,-0.28,0.06,40
POS,0.40,-0.28,0.05,42
POS,0.42,-0.28,0.04,41
POS,0.39,-0.27,0.03,49
POS,0.39,-0.27,0.01,51
POS,0.36,-0.28,-0.00,61
POS,0.36,-0.30,0.01,55
POS,0.34,-0.30,-0.00,61
POS,0.35,-0.29,-0.03,60
POS,0.36,-0.28,-0.03,51
POS,0.37,-0.28,-0.03,48
POS,0.36,-0.27,-0.03,52
POS,0.38,-0.28,0.01,41
POS,0.39,-0.26,-0.02,53
POS,0.38,-0.27,0.01,45
POS,0.38,-0.27,0.01,37
POS,0.36,-0.27,0.01,47
POS,0.36,-0.28,0.01,49
POS,0.36,-0.28,0.01,50
POS,0.36,-0.27,-0.03,62
POS,0.35,-0.28,-0.00,48
POS,0.35,-0.26,-0.02,55
POS,0.35,-0.27,-0.00,46
POS,0.32,-0.28,-0.00,55
POS,0.30,-0.29,0.01,50
POS,0.29,-0.29,0.04,46
POS,0.28,-0.28,0.01,59
POS,0.28,-0.28,0.03,45
POS,0.31,-0.26,0.02,34
POS,0.30,-0.27,0.01,59
POS,0.28,-0.28,0.01,53
POS,0.28,-0.28,0.04,49
POS,0.27,-0.28,0.03,55
POS,0.27,-0.28,0.00,63
POS,0.19,-0.27,0.06,81
POS,0.18,-0.29,0.05,63
POS,0.23,-0.29,0.03,55
POS,0.25,-0.28,0.01,56
POS,0.31,-0.26,-0.01,49
POS,0.34,-0.24,-0.00,30
POS,0.39,-0.21,-0.03,66
POS,0.38,-0.23,-0.05,61
POS,0.39,-0.23,-0.08,61
POS,0.38,-0.25,-0.07,58
POS,0.34,-0.25,-0.09,77
POS,0.33,-0.27,-0.10,70
POS,0.34,-0.28,-0.09,60
POS,0.33,-0.27,-0.11,73
POS,0.35,-0.27,-0.12,71
POS,0.35,-0.27,-0.13,70
POS,0.35,-0.29,-0.10,60
POS,0.34,-0.29,-0.09,61
POS,0.33,-0.31,-0.07,61
POS,0.33,-0.30,-0.09,73
POS,0.33,-0.30,-0.01,54
POS,0.34,-0.24,-0.07,61
POS,0.34,-0.26,-0.06,56
POS,0.32,-0.27,-0.03,42
POS,0.30,-0.26,0.00,15
POS,0.24,-0.24,0.02,63
POS,0.24,-0.25,0.02,47
POS,0.27,-0.27,0.03,51
POS,0.28,-0.28,0.00,62
POS,0.29,-0.30,-0.02,68
POS,0.30,-0.27,-0.08,74
POS,0.28,-0.25,-0.13,86
POS,0.26,-0.22,-0.19,87
POS,0.28,-0.16,-0.23,78
POS,0.29,-0.18,-0.26,83
POS,0.29,-0.17,-0.28,82
POS,0.31,-0.15,-0.30,77
POS,0.31,-0.11,-0.32,79
POS,0.31,-0.05,-0.31,80
POS,0.31,-0.14,-0.23,67
POS,0.32,-0.19,-0.12,59
POS,0.31,-0.24,-0.14,81
POS,0.31,-0.26,-0.15,77
POS,0.30,-0.27,-0.12,60
POS,0.29,-0.27,-0.09,40
POS,0.31,-0.27,-0.05,41
POS,0.31,-0.28,-0.01,46
POS,0.29,-0.28,-0.00,45
POS,0.26,-0.28,0.04,60
POS,0.25,-0.28,0.00,72
POS,0.26,-0.28,-0.02,65
POS,0.27,-0.28,-0.02,57
POS,0.25,-0.28,-0.02,62
POS,0.28,-0.26,-0.02,38
POS,0.28,-0.28,-0.01,48
POS,0.26,-0.28,-0.00,52
POS,0.26,-0.29,-0.01,59
POS,0.28,-0.30,0.01,54
POS,0.31,-0.28,0.01,37
POS,0.33,-0.29,0.02,47
POS,0.31,-0.29,0.02,44
POS,0.30,-0.29,-0.00,64
POS,0.27,-0.28,0.01,33
POS,0.26,-0.28,0.03,49
POS,0.26,-0.30,0.04,58
POS,0.28,-0.31,0.05,57
POS,0.28,-0.31,0.07,52
POS,0.27,-0.31,0.06,42
POS,0.26,-0.31,0.07,54
POS,0.26,-0.32,0.06,60
POS,0.26,-0.32,0.07,55
POS,0.29,-0.33,0.07,54
POS,0.30,-0.34,0.10,62
POS,0.32,-0.34,0.08,49
POS,0.29,-0.33,0.06,59
POS,0.32,-0.32,0.06,38
POS,0.31,-0.31,0.05,54
POS,0.26,-0.29,0.06,51
POS,0.30,-0.29,0.05,43
POS,0.31,-0.31,0.07,56
POS,0.29,-0.30,0.08,46
POS,0.32,-0.31,0.06,56
POS,0.30,-0.31,0.07,52
POS,0.33,-0.31,0.05,46
POS,0.34,-0.28,0.04,37
POS,0.34,-0.29,0.05,44
POS,0.32,-0.29,0.03,59
POS,0.30,-0.28,0.03,44
POS,0.29,-0.29,0.03,49
POS,0.27,-0.29,0.03,46
POS,0.28,-0.31,0.02,63
POS,0.31,-0.32,0.04,51
POS,0.30,-0.31,0.04,43
POS,0.31,-0.29,0.05,33
POS,0.30,-0.30,0.05,56
POS,0.32,-0.30,0.05,47
POS,0.29,-0.30,0.04,45
POS,0.29,-0.30,0.04,55
POS,0.25,-0.30,0.03,62
POS,0.26,-0.30,0.01,59
POS,0.27,-0.29,0.01,40
POS,0.28,-0.30,0.03,53
POS,0.27,-0.29,0.03,40
POS,0.30,-0.27,0.02,38
POS,0.29,-0.27,0.03,32
POS,0.31,-0.28,0.02,52
POS,0.29,-0.30,0.03,59
POS,0.30,-0.31,0.03,56
POS,0.29,-0.31,0.06,56
POS,0.29,-0.31,0.07,54
POS,0.29,-0.32,0.07,58
POS,0.29,-0.32,0.06,57
POS,0.29,-0.33,0.06,55
POS,0.27,-0.32,0.06,50
POS,0.30,-0.32,0.05,52
POS,0.28,-0.32,0.04,61
POS,0.26,-0.32,0.04,49
POS,0.26,-0.31,0.04,38
POS,0.27,-0.30,0.03,45
POS,0.26,-0.31,0.05,60
POS,0.27,-0.30,0.04,47
POS,0.26,-0.31,0.06,59
POS,0.27,-0.30,0.07,43
POS,0.30,-0.29,0.05,41
POS,0.30,-0.30,0.05,54
POS,0.29,-0.30,0.05,50
POS,0.31,-0.30,0.02,54
POS,0.32,-0.27,0.01,41
POS,0.35,-0.29,0.04,51
POS,0.33,-0.28,0.03,49
POS,0.35,-0.27,0.02,38
POS,0.35,-0.25,0.02,33
POS,0.32,-0.27,0.02,50
POS,0.32,-0.28,0.04,47
POS,0.33,-0.26,0.03,35
POS,0.34,-0.24,0.02,32
POS,0.34,-0.25,0.04,41
POS,0.34,-0.24,0.02,39
POS,0.32,-0.25,0.02,55
POS,0.30,-0.27,0.02,49
POS,0.29,-0.29,0.02,57
POS,0.31,-0.26,0.02,27
POS,0.32,-0.26,-0.00,56
POS,0.34,-0.24,0.00,25
POS,0.31,-0.25,0.01,43
POS,0.29,-0.25,0.01,43
POS,0.29,-0.26,-0.00,57
POS,0.30,-0.27,0.01,53
POS,0.27,-0.27,0.01,44
POS,0.27,-0.28,0.01,54
POS,0.29,-0.29,0.02,50
POS,0.28,-0.29,0.01,60
POS,0.31,-0.29,0.01,50
POS,0.33,-0.29,0.01,45
POS,0.32,-0.30,0.03,56
POS,0.30,-0.30,0.04,48
POS,0.28,-0.30,0.05,48
POS,0.27,-0.30,0.06,48
POS,0.25,-0.31,0.08,58
POS,0.29,-0.30,0.04,61
POS,0.28,-0.30,0.04,44
POS,0.28,-0.29,0.03,44
POS,0.29,-0.31,0.04,57
POS,0.28,-0.30,0.06,47
POS,0.31,-0.30,0.06,40
POS,0.30,-0.31,0.05,57
POS,0.29,-0.30,0.05,43
POS,0.29,-0.32,0.07,59
POS,0.32,-0.29,0.05,37
POS,0.31,-0.30,0.06,53
POS,0.31,-0.31,0.06,54
POS,0.28,-0.30,0.06,43
POS,0.28,-0.31,0.05,61
POS,0.31,-0.28,0.04,28
POS,0.30,-0.29,0.04,46
POS,0.30,-0.30,0.05,57
POS,0.32,-0.30,0.05,42
POS,0.33,-0.30,0.05,40
POS,0.32,-0.29,0.07,43
POS,0.31,-0.29,0.06,44
POS,0.33,-0.30,0.04,52
POS,0.33,-0.31,0.04,54
POS,0.31,-0.30,0.04,43
POS,0.31,-0.31,0.04,56
POS,0.32,-0.31,0.05,45
POS,0.31,-0.30,0.02,59
POS,0.31,-0.29,0.02,42
POS,0.31,-0.29,0.02,37
POS,0.33,-0.27,0.03,27
POS,0.31,-0.28,0.05,49
POS,0.31,-0.29,0.05,52
POS,0.31,-0.30,0.04,56
POS,0.33,-0.30,0.05,37
POS,0.32,-0.31,0.06,60
POS,0.31,-0.32,0.08,57
POS,0.33,-0.31,0.06,44
POS,0.33,-0.32,0.06,55
POS,0.35,-0.31,0.05,50
POS,0.34,-0.31,0.06,46
POS,0.34,-0.30,0.04,48
POS,0.31,-0.29,0.03,49
POS,0.33,-0.29,0.01,54
POS,0.30,-0.29,0.00,62
POS,0.30,-0.30,0.04,59
POS,0.31,-0.29,0.03,48
POS,0.31,-0.30,0.05,53
POS,0.30,-0.30,0.05,53
POS,0.33,-0.28,0.04,29
POS,0.35,-0.26,0.03,41
POS,0.32,-0.27,0.05,54
POS,0.32,-0.29,0.06,56
POS,0.33,-0.30,0.07,50
POS,0.33,-0.29,0.04,52
POS,0.35,-0.31,0.03,60
POS,0.32,-0.31,0.03,47
POS,0.33,-0.29,0.01,56
POS,0.32,-0.29,0.03,43
POS,0.28,-0.30,0.03,55
POS,0.29,-0.29,0.05,39
POS,0.26,-0.30,0.05,61
POS,0.26,-0.31,0.05,55
POS,0.26,-0.32,0.04,61
POS,0.30,-0.33,0.04,52
POS,0.28,-0.31,0.04,46
POS,0.27,-0.32,0.05,60
POS,0.25,-0.31,0.08,54
POS,0.25,-0.30,0.05,56
POS,0.29,-0.30,0.03,56
POS,0.30,-0.29,0.02,53
POS,0.31,-0.30,0.04,50
POS,0.33,-0.29,0.02,52
POS,0.31,-0.29,0.00,62
POS,0.30,-0.30,-0.01,58
POS,0.30,-0.31,0.00,58
POS,0.30,-0.31,-0.00,59
POS,0.29,-0.31,-0.01,60
POS,0.27,-0.29,0.03,48
POS,0.28,-0.30,0.06,55
POS,0.30,-0.30,0.07,45
POS,0.30,-0.31,0.07,53
POS,0.31,-0.30,0.05,49
POS,0.29,-0.30,0.04,55
POS,0.28,-0.31,0.03,60
POS,0.29,-0.31,0.05,50
POS,0.28,-0.31,0.03,60
POS,0.28,-0.30,0.05,49
POS,0.26,-0.30,0.08,59
POS,0.26,-0.30,0.09,52
POS,0.28,-0.30,0.08,48
POS,0.30,-0.31,0.08,46
POS,0.33,-0.30,0.07,42
POS,0.31,-0.30,0.07,47
POS,0.32,-0.28,0.05,33
POS,0.33,-0.29,0.07,54
POS,0.32,-0.30,0.07,50
POS,0.32,-0.30,0.06,51
POS,0.30,-0.30,0.05,55
POS,0.33,-0.30,0.03,51
POS,0.33,-0.30,0.03,48
POS,0.32,-0.30,0.03,50
POS,0.30,-0.29,0.04,31
POS,0.33,-0.28,0.03,47
POS,0.32,-0.29,0.03,51
POS,0.30,-0.29,0.05,53
POS,0.30,-0.30,0.06,50
POS,0.31,-0.31,0.05,53
POS,0.31,-0.32,0.05,58
POS,0.34,-0.32,0.06,50
